AMP_NM;BNF_CODE;PRESENTATION;STRENGTH;DATE_FROM;DATE_TO;VERSION
Juzo Attractive class 1 (18-21mmHg) below knee open toe lymphoedema garment standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) below knee open toe with silicone top band lymphoedema garment standard size I;;B/K O/T +SB;I-VI;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) below knee open toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) below knee open toe with silicone top band lymphoedema garment standard size II;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size II, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment extra short size III;;Juzo UK Ltd;Class 1 (18-21mmHg), extra short size III, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment short size II;;Juzo UK Ltd;Class 1 (18-21mmHg), short size II, Blueberry;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide extra short size V;;Juzo UK Ltd;Class 1 (18-21mmHg), wide extra short size V, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size I;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size I, Sesame;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size II;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size II, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size IV, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size IV, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size IV, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide short size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), wide short size IV, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size I , Black peppe;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide standard size II;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size II, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide standard size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size IV, Blueberry;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide standard size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size VI, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment extra short size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), extra short size VI, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment short size III;;Juzo UK Ltd;Class 1 (18-21mmHg), short size III, Sesame;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size I, Nutmeg;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment standard size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size VI, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment wide extra short size I;;Juzo UK Ltd;Class 1 (18-21mmHg), wide extra short size I, Sesame;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment wide standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) thigh length open toe with silicone top band lymphoedema garment wide standard size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), wide standard size VI, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights closed toe lymphoedema garment extra short size V;;Juzo UK Ltd;Class 1 (18-21mmHg), extra short size V, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights closed toe lymphoedema garment extra short size V;;Juzo UK Ltd;Class 1 (18-21mmHg), extra short size V, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights closed toe lymphoedema garment short size II;;Juzo UK Ltd;Class 1 (18-21mmHg), short size II, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights open toe lymphoedema garment short size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), short size IV, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights open toe lymphoedema garment standard size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size VI, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 1 (18-21mmHg) tights open toe lymphoedema garment standard size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size VI, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment extra short size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size VI, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Blueberry;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment standard size II;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size II, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe lymphoedema garment standard size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size VI, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment extra short size II;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size II, Blueberry;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment short size II;;Juzo UK Ltd;Class 2 (23-32mmHg), short size II, Nutmeg;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment short size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), short size IV, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), short size V, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size I;;B/K C/T +SB;I-VI;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size II;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size II, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size V;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size V, Cacao;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size V;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size V, Nutmeg;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee open toe lymphoedema garment short size I;;Juzo UK Ltd;Class 2 (23-32mmHg), short size I, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee open toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Sesame;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee open toe lymphoedema garment standard size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size VI, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), short size V, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length closed toe with silicone top band lymphoedema garment short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), short size V, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length closed toe with silicone top band lymphoedema garment wide extra short size I;;Juzo UK Ltd;Class 2 (23-32mmHg), wide extra short size I, Poppy see;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length closed toe with silicone top band lymphoedema garment wide extra short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), wide extra short size III, Nutmeg;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment extra short size I;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size I, Cacao;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment extra short size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size IV, Cinnamon;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Sesame;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide short size II;;Juzo UK Ltd;Class 2 (23-32mmHg), wide short size II, Blueberry;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), wide short size III, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), wide standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide standard size I;;T/H O/T W +SB;I-VI;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights closed toe lymphoedema garment short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), short size V, Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights closed toe lymphoedema garment short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), short size V, Cacao;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights closed toe lymphoedema garment standard size V;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size V, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights closed toe lymphoedema garment standard size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size VI, Almond;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights open toe lymphoedema garment extra short size I;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size I, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights open toe lymphoedema garment short size III;;Juzo UK Ltd;Class 2 (23-32mmHg), short size III, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive class 2 (23-32mmHg) tights open toe lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Almond;2018-11-09;2018-11-09;1
Juzo Attractive custom fit class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment;;Juzo UK Ltd;Class 1 (18-21mmHg),, Sugar;2018-11-09;2018-11-09;1
Juzo Attractive custom fit class 2 (23-32mmHg) below knee closed toe lymphoedema garment;;Juzo UK Ltd;Class 2 (23-32mmHg),, Poppy seed;2018-11-09;2018-11-09;1
Juzo Attractive custom fit class 2 (23-32mmHg) thigh length closed toe with silicone top band lymphoedema garment;;Juzo UK Ltd;Class 2 (23-32mmHg), , Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive custom fit class 2 (23-32mmHg) tights closed toe lymphoedema garment;;Juzo UK Ltd;Class 2 (23-32mmHg), , Black pepper;2018-11-09;2018-11-09;1
Juzo Attractive custom fit class 2 (23-32mmHg) tights closed toe lymphoedema garment;;TIGHTS C/T;;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla lymphoedema garment max size I;;A/SL WR-AX MAX;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla lymphoedema garment max size I;;Juzo UK Ltd;Class 1 (18-21mmHg), max size I , CG2301-Max, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla lymphoedema garment standard size I;;A/SL WR-AXILLA;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla lymphoedema garment standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size I , CG2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla max lymphoedema garment size I;;Juzo UK Ltd;Class 1 (18-21mmHg), max size I , CG2301-Max, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size I;;A/S WR-AX+SIL B;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size I , CG2301-Sil, Almo;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size II;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size II, CG2301-Sil, Almo;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size V;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size V, CG2301-Sil, Almon;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) gauntlet lymphoedema garment standard size 2;;GAUNTLET;02-May;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) gauntlet lymphoedema garment standard size 2;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size 2 , HDA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) gauntlet lymphoedema garment standard size 4;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size 4, HDA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) gauntlet lymphoedema garment standard size 5;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size 5, HDA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) glove lymphoedema garment size II;;GLOVE;02-May;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) glove lymphoedema garment size II;;Juzo UK Ltd;Class 1 (18-21mmHg), size II , HFA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) glove lymphoedema garment size III;;Juzo UK Ltd;Class 1 (18-21mmHg), size III, HFA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) glove lymphoedema garment size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), size IV, HFA2301, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) seamless toe cap lymphoedema garment size II left;;Juzo UK Ltd;Class 1 (18-21mmHg), size II left  , Sesame;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) seamless toe cap lymphoedema garment size III left;;Juzo UK Ltd;Class 1 (18-21mmHg), size III left  , Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) seamless toe cap lymphoedema garment size III left;;Juzo UK Ltd;Class 1 (18-21mmHg), size III left  , Black pepper;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) seamless toe cap lymphoedema garment size IV right;;Juzo UK Ltd;Class 1 (18-21mmHg), size IV right  , Almond;2018-11-09;2018-11-09;1
Juzo Classic class 1 (18-21mmHg) seamless toe cap lymphoedema garment size V left;;Juzo UK Ltd;Class 1 (18-21mmHg), size V left  , Almond;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla lymphoedema garment max size I;;A/SL WR-AX MAX;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla lymphoedema garment standard size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size VI, CG2302, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla max lymphoedema garment size III;;Juzo UK Ltd;Class 2 (23-32mmHg), max size III, CG2302-Max, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment max size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), max size IV, CG2302-Max-Sil, Almon;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment max size VI;;A/S WR-AX+SLBMX;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size I;;A/S WR-AX+SIL B;I-VI;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , CG2302-Sil, Almo;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size III;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size III, CG2302-Sil, Alm;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border lymphoedema garment standard size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size IV, CG2302-Sil, Almo;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border max lymphoedema garment size II;;Juzo UK Ltd;Class 2 (23-32mmHg), max size II, CG2302-Max-Sil, Almon;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) armsleeve wrist to axilla with silicone border max lymphoedema garment size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), max size IV, CG2302-Max-Sil, Almon;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) gauntlet lymphoedema garment standard size 2;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size 2 , HDA2302, Almond;2018-11-09;2018-11-09;1
Juzo Classic class 2 (23-32mmHg) glove lymphoedema garment size III;;Juzo UK Ltd;Class 2 (23-32mmHg), size III  , HFA2302, Almond;2018-11-09;2018-11-09;1
Juzo Compression Wrap calf max regular medium;;CALF MAX;S-XXL;2018-11-09;2018-11-09;1
Juzo Compression Wrap calf regular extra large;;Juzo UK Ltd;regular extra large  , Black;2018-11-09;2018-11-09;1
Juzo Compression Wrap calf regular large;;Juzo UK Ltd;regular large  , Black;2018-11-09;2018-11-09;1
Juzo Compression Wrap calf regular medium;;Juzo UK Ltd;regular medium  , Black;2018-11-09;2018-11-09;1
Juzo Compression Wrap foot universal large;;Juzo UK Ltd;universal large  , Black;2018-11-09;2018-11-09;1
Juzo Compression Wrap foot universal medium;;FOOT;S,M,L;2018-11-09;2018-11-09;1
Juzo Compression Wrap foot universal medium;;Juzo UK Ltd;universal medium  , Black;2018-11-09;2018-11-09;1
Juzo Compression Wrap thigh regular extra small;;Juzo UK Ltd;regular extra small , Black;2018-11-09;2018-11-09;1
Juzo Dual Stretch (20-30mmHg) below knee open toe lymphoedema garment short size II;;Juzo UK Ltd;Class  (20-30mmHg), short size II  , Beige;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee closed toe lymphoedema garment short size III;;Juzo UK Ltd;Class 1 (18-21mmHg), short size III, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee closed toe lymphoedema garment standard size I;;B/K CLOSED TOE;I-VI;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee closed toe with silicone top band lymphoedema garment short size III;;Juzo UK Ltd;Class 1 (18-21mmHg), short size III, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee closed toe with silicone top band lymphoedema garment short size VI;;Juzo UK Ltd;Class 1 (18-21mmHg), short size VI, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee closed toe with silicone top band lymphoedema garment standard size III;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size III, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) below knee open toe lymphoedema garment short size III;;Juzo UK Ltd;Class 1 (18-21mmHg), short size III, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment extra short size I;;Juzo UK Ltd;Class 1 (18-21mmHg), extra short size I, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) thigh length closed toe with silicone top band lymphoedema garment wide standard size I;;T/H C/T + W S/B;I-VI;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) thigh length closed toe with waist attachment lymphoedema garment left standard size I;;Juzo UK Ltd;Class 1 (18-21mmHg), left standard size I , Black peppe;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) tights closed toe lymphoedema garment standard size III;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size III, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) tights closed toe lymphoedema garment standard size III;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size III, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) tights closed toe lymphoedema garment standard size IV;;Juzo UK Ltd;Class 1 (18-21mmHg), standard size IV, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 1 (18-21mmHg) tights open toe lymphoedema garment short size II;;Juzo UK Ltd;Class 1 (18-21mmHg), short size II, Sesame;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) below knee closed toe lymphoedema garment short size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), short size IV, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) below knee closed toe with silicone top band lymphoedema garment standard size I;;B/K C/TOE + S/B;I-VI;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe lymphoedema garment standard size I;;B/K OPEN TOE;I-VI;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe lymphoedema garment standard size V;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size V, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) below knee open toe with silicone top band lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length closed toe lymphoedema garment extra short size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), extra short size VI, Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length open toe with silicone top band lymphoedema garment wide extra short size VI;;Juzo UK Ltd;Class 2 (23-32mmHg), wide extra short size VI, Sesame;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment left extra short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), left extra short size V, Almond;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) thigh length open toe with waist attachment lymphoedema garment left extra short size V;;Juzo UK Ltd;Class 2 (23-32mmHg), left extra short size V, Black pep;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) tights closed toe lymphoedema garment standard size I;;Juzo UK Ltd;Class 2 (23-32mmHg), standard size I , Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton class 2 (23-32mmHg) tights open toe lymphoedema garment short size IV;;Juzo UK Ltd;Class 2 (23-32mmHg), short size IV, Sesame;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton custom fit class 1 (18-21mmHg) below knee open toe with silicone top band lymphoedema garment;;Juzo UK Ltd;Class 1 (18-21mmHg), , Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton custom fit class 1 (18-21mmHg) one-legged panty closed toe lymphoedema garment;;Juzo UK Ltd;Class 1 (18-21mmHg), , Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton custom fit class 1 (18-21mmHg) thigh length closed toe lymphoedema garment;;T/H C/T;;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton custom fit class 1 (18-21mmHg) thigh length closed toe with waist attachment lymphoedema garment left;;Juzo UK Ltd;Class 1 (18-21mmHg), left , Black pepper;2018-11-09;2018-11-09;1
Juzo Dynamic Cotton custom fit class 1 (18-21mmHg) thigh length closed toe with waist attachment lymphoedema garment left;;T/H C/T W/A L;;2018-11-09;2018-11-09;1
